BUILDING ADDRESS,BOROUGH,BUILDING IDENTIFICATION NUMBER,CONTROL NUMBER,EXTERIOR WALL TYPE,EXTERIOR WALL MATERIAL
39 WEST 32 STREET,Manhattan,1015844,902155,MASONRY LOAD-BEARING WALL,MASONRY
171 FIFTH AVENUE,Manhattan,1016278,902360,MASONRY LOAD-BEARING WALL,CAST STONE
5 EAST 16 STREET,Manhattan,1016096,902285,OTHER,MASONRY
235 PARK AVENUE SOUTH,Manhattan,1017906,902417,MASONRY LOAD-BEARING WALL,CAST IRON
15 EAST 16 STREET,Manhattan,1016084,902418,OTHER,MASONRY
105 MADISON AVENUE,Manhattan,1016939,902575,MASONRY LOAD-BEARING WALL,CAST STONE
235 PARK AVENUE SOUTH,Manhattan,1017906,902576,MASONRY LOAD-BEARING WALL,CAST STONE
415 PARK AVENUE SOUTH,Manhattan,1018236,902655,OTHER,MASONRY
104 EAST 31 STREET,Manhattan,1018345,902674,OTHER,MASONRY
153 EAST 29 STREET,Manhattan,1018263,902662,OTHER,MASONRY
145 EAST 27 STREET,Manhattan,1018177,902647,MASONRY CAVITY WALL,MASONRY
153 LEXINGTON AVENUE,Manhattan,1085004,902665,OTHER,MASONRY
151 EAST 31 STREET,Manhattan,1078756,902682,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
461 PARK AVENUE SOUTH,Manhattan,1018457,902678,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
45 PARK AVENUE,Manhattan,1087674,902729,OTHER,"CAST STONE, CONCRETE, MASONRY"
228 LEXINGTON AVENUE,Manhattan,1018513,902700,OTHER,MASONRY
341 THIRD AVENUE,Manhattan,1019821,902804,CONCRETE FRAME,"MASONRY, MASONRY CAVITY WALL, NATURAL STONE"
380 SECOND AVENUE,Manhattan,1020567,902877,MASONRY LOAD-BEARING WALL,MASONRY
380 SECOND AVENUE,Manhattan,1020567,902828,MASONRY CAVITY WALL,MASONRY
245 EAST 25 STREET,Manhattan,1019831,902805,OTHER,OTHER
713 SECOND AVENUE,Manhattan,1020359,902850,OTHER,OTHER
320 EAST 22 STREET,Manhattan,1020564,902876,MASONRY CAVITY WALL,MASONRY
471 THIRD AVENUE,Manhattan,1020078,902828,MASONRY CAVITY WALL,MASONRY
561 SEVENTH AVENUE,Manhattan,1022558,903016,OTHER,"CAST STONE,MASONRY LOAD-BEARING WALL,MASONRY,STEEL FRAME,NATURAL STONE,TERRA COTTA"
382 SECOND AVENUE,Manhattan,1020569,902878,MASONRY CAVITY WALL,MASONRY
1431 BROADWAY,Manhattan,1022561,903018,MASONRY LOAD-BEARING WALL,"MASONRY,NATURAL STONE"
327 EAST 34 STREET,Manhattan,1021902,902917,CURTAIN WALL,"MASONRY,STUCCO/EIFS"
530 SECOND AVENUE,Manhattan,1020615,902908,OTHER,"MASONRY,STEEL FRAME,NATURAL STONE,TERRA COTTA"
1493 BROADWAY,Manhattan,1024706,903156,OTHER,OTHER
708 7 AVENUE,Manhattan,1024757,903167,OTHER,MASONRY CAVITY WALL
118 WEST 57 STREET,Manhattan,1023455,903104,OTHER,OTHER
234 WEST 44 STREET,Manhattan,1024707,903157,MASONRY LOAD-BEARING WALL,MASONRY
761 7 AVENUE,Manhattan,1022710,903077,MASONRY LOAD-BEARING WALL,MASONRY
1493 BROADWAY,Manhattan,1024706,903156,OTHER,OTHER
1776 BROADWAY,Manhattan,1024901,903218,OTHER,MASONRY
922 7 AVENUE,Manhattan,1024918,903230,OTHER,OTHER
210 CENTRAL PARK SOUTH,Manhattan,1024919,903231,MASONRY CAVITY WALL,MASONRY
1752 BROADWAY,Manhattan,1024894,903212,MASONRY CAVITY WALL,CONCRETE
320 WEST 57 STREET,Manhattan,1025450,903279,MASONRY CAVITY WALL,CONCRETE
1900 BROADWAY,Manhattan,1027472,903389,OTHER,OTHER
301 WEST 57 STREET,Manhattan,1076205,903290,OTHER,CONCRETE
426 WEST 52 STREET,Manhattan,1026728,903309,OTHER,MASONRY
45 WEST 60 STREET,Manhattan,1027187,903370,MASONRY CAVITY WALL,MASONRY
20 WEST 77 STREET,Manhattan,1028818,903470,MASONRY LOAD-BEARING WALL,MASONRY
1991 BROADWAY,Manhattan,1028857,903490,OTHER,OTHER
112 WEST 79 STREET,Manhattan,1030260,903555,MASONRY LOAD-BEARING WALL,MASONRY
155 WEST 78 STREET,Manhattan,1028950,903496,MASONRY CAVITY WALL,MASONRY
173 WEST 78 STREET,Manhattan,1030234,903552,MASONRY LOAD-BEARING WALL,MASONRY
2012 BROADWAY,Manhattan,1028948,903494,MASONRY LOAD-BEARING WALL,MASONRY
1991 BROADWAY,Manhattan,1028857,903490-I1,OTHER,OTHER
112 WEST 79 STREET,Manhattan,1030260,903555-I1,MASONRY LOAD-BEARING WALL,MASONRY
155 WEST 78 STREET,Manhattan,1028950,903496-I1,MASONRY CAVITY WALL,MASONRY
173 WEST 78 STREET,Manhattan,1030234,903552-I1,MASONRY LOAD-BEARING WALL,MASONRY
2012 BROADWAY,Manhattan,1028948,903494-I1,MASONRY LOAD-BEARING WALL,MASONRY
202 WEST 74 STREET,Manhattan,1030545,903615,OTHER,Steel Sub-Structure with Stone Facade
235 WEST 71 STREET,Manhattan,1030413,903600,OTHER,"Brick Masonry, Granite, Limestone"
260 WEST END AVENUE,Manhattan,1030436,903606,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
250 WEST 75 STREET,Manhattan,1030734,903624,OTHER,Brick Masonry
206 WEST 70 STREET,Manhattan,1030350,903584,MASONRY LOAD-BEARING WALL,"GFRC, MASONRY, STUCCO/EIFS, TERRA COTTA"
235 WEST 71 STREET,Manhattan,1030413,903600,OTHER,"Brick Masonry, Granite, Limestone"
